category,split,chunk,ankle_count,filenames
ANKLE,multicoil_test,multicoil_test.tar.part-00002,6,meas_MID00168_FID134822_AX_T1_FS_POST.h5;meas_MID00160_FID134814_COR_T1.h5;meas_MID00243_FID113714_AX_PD_FS.h5;meas_MID00041_FID121809_COR_T1.h5;meas_MID00037_FID121805_AX_PD_FS.h5;meas_MID00039_FID121807_COR_T2_FS.h5
ANKLE,multicoil_val,multicoil_val.tar.part-00001,6,meas_MID00084_FID125605_AX_PD_FS.h5;meas_MID00088_FID125609_SAG_STIR.h5;meas_MID00074_FID134190_COR_T2_FS.h5;meas_MID00563_FID115514_AX_PD_FS.h5;meas_MID00535_FID111503_COR_T2_FS.h5;meas_MID00076_FID134192_COR_T1.h5
ANKLE,multicoil_test,multicoil_test.tar.part-00000,5,meas_MID00153_FID134807_SAG_STIR.h5;meas_MID00157_FID134811_AX_PD_FS.h5;meas_MID00240_FID113711_SAG_STIR.h5;meas_MID00141_FID128649_SAG_STIR.h5;meas_MID00034_FID121802_SAG_PD.h5
ANKLE,multicoil_val,multicoil_val.tar.part-00000,5,meas_MID00530_FID111498_SAG_PD.h5;meas_MID00080_FID125601_SAG_STIR.h5;meas_MID00536_FID111504_COR_T1.h5;meas_MID00066_FID134182_SAG_STIR.h5;meas_MID00093_FID125614_AX_PD_FS.h5
ANKLE,multicoil_test,multicoil_test.tar.part-00001,4,meas_MID00241_FID113712_SAG_PD.h5;meas_MID00151_FID128659_AX_T1.h5;meas_MID00162_FID134816_COR_T2_FS.h5;meas_MID00032_FID121800_SAG_STIR.h5
ANKLE,multicoil_val,multicoil_val.tar.part-00002,4,meas_MID00533_FID111501_AX_PD_FS.h5;meas_MID00069_FID134185_SAG_PD.h5;meas_MID00086_FID125607_COR_T2_FS.h5;meas_MID00559_FID115510_SAG_STIR.h5
ANKLE,multicoil_val,multicoil_val.tar.part-00004,4,meas_MID00565_FID115516_COR_T2_FS.h5;meas_MID00095_FID125616_AX_T1.h5;meas_MID00560_FID115511_SAG_PD.h5;meas_MID00528_FID111496_SAG_STIR.h5
ANKLE,multicoil_test,multicoil_test.tar.part-00004,3,meas_MID00144_FID128652_AX_PD_FS.h5;meas_MID00147_FID128655_COR_T1.h5;meas_MID00149_FID128657_COR_T2_FS.h5
ANKLE,multicoil_val,multicoil_val.tar.part-00006,2,meas_MID00072_FID134188_AX_PD_FS.h5;meas_MID00082_FID125603_SAG_PD.h5
ANKLE,multicoil_test,multicoil_test.tar.part-00003,1,meas_MID00142_FID128650_SAG_PD.h5
ANKLE,multicoil_test,multicoil_test.tar.part-00005,1,meas_MID00154_FID134808_SAG_PD.h5
ANKLE,multicoil_val,multicoil_val.tar.part-00005,1,meas_MID00087_FID125608_COR_T1.h5
