category,split,chunk,elbow_count,filenames
ELBOW,multicoil_train,multicoil_train.tar.part-00014,6,meas_MID00279_FID130349_COR_T1_TSE.h5;meas_MID00281_FID130351_SAG_T2_FS.h5;meas_MID00285_FID130355_AX_T1.h5;meas_MID00287_FID120523_COR_T2_FS_DIXON.h5;meas_MID00289_FID120525_COR_T1_TSE.h5;meas_MID00289_FID120985_COR__PD_TSE_FS_(2_3MM).h5
ELBOW,multicoil_train,multicoil_train.tar.part-00002,4,meas_MID00067_FID111566_COR_T1_TSE.h5;meas_MID00068_FID110501_SAG_T2_FS.h5;meas_MID00071_FID111570_SAG_T2_FS.h5;meas_MID00075_FID111574_AX_T1.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00013,4,meas_MID00265_FID120961_COR_T2_FS_DIXON.h5;meas_MID00266_FID120962_COR_T1_TSE.h5;meas_MID00268_FID120964_SAG_PD_TSE_FS.h5;meas_MID00278_FID130348_COR_T2_FS_DIXON.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00001,3,meas_MID00062_FID110495_COR_T2_FS_DIXON.h5;meas_MID00066_FID110499_COR_T1_TSE.h5;meas_MID00066_FID111565_COR_T2_FS_DIXON.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00004,3,meas_MID00114_FID128622_SAG_T2_FS.h5;meas_MID00118_FID128626_COR_T1_TSE.h5;meas_MID00127_FID128635_COR_T2_FS_DIXON.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00012,2,meas_MID00254_FID128762_COR_T1_TSE.h5;meas_MID00256_FID128764_SAG_T2_FS.h5
ELBOW,multicoil_val,multicoil_val.tar.part-00003,2,meas_MID00037_FID129576_AX_PD_TSE_FS.h5;meas_MID00025_FID129564_COR_T2_FS_DIXON.h5
ELBOW,multicoil_test,multicoil_test.tar.part-00000,1,meas_MID00111_FID125632_AX_PD_TSE_FS.h5
ELBOW,multicoil_test,multicoil_test.tar.part-00002,1,meas_MID00125_FID125646_AX_STIR_WARP.h5
ELBOW,multicoil_test,multicoil_test.tar.part-00004,1,meas_MID00134_FID125655_SAG_T2_FS_DIXON.h5
ELBOW,multicoil_test,multicoil_test.tar.part-00005,1,meas_MID00122_FID125643_SAG_T2_FS.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00003,1,meas_MID00106_FID128614_COR_T2_FS_DIXON.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00011,1,meas_MID00253_FID128761_COR_T2_FS_DIXON.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00019,1,meas_MID00397_FID126954_COR_T1_TSE.h5
ELBOW,multicoil_train,multicoil_train.tar.part-00020,1,meas_MID00400_FID126957_SAG_T2_FS.h5
ELBOW,multicoil_val,multicoil_val.tar.part-00000,1,meas_MID00031_FID129570_COR_T1_TSE.h5
ELBOW,multicoil_val,multicoil_val.tar.part-00005,1,meas_MID00039_FID129578_AX_T1.h5
