category,split,chunk,foot_count,filenames
FOOT,multicoil_train,multicoil_train.tar.part-00001,10,meas_MID00052_FID133697_SAG_STIR.h5;meas_MID00053_FID112030_COR_T2_FS_PROX_DIST.h5;meas_MID00054_FID133699_SAG_T1.h5;meas_MID00056_FID133701_AX_PD_FS.h5;meas_MID00060_FID133705_COR_T2_FS_PROX_DIST.h5;meas_MID00061_FID112038_COR_T2_FS_PROX_DIST.h5;meas_MID00062_FID133707_COR_T2_FS_PROX_DIST.h5;meas_MID00063_FID112040_COR_T1.h5;meas_MID00064_FID133709_SAG_STIR.h5;meas_MID00065_FID112042_COR_T1.h5
FOOT,multicoil_train,multicoil_train.tar.part-00004,8,meas_MID00116_FID121884_SAG_STIR.h5;meas_MID00119_FID121887_SAG_T1.h5;meas_MID00121_FID121889_AX_PD_FS.h5;meas_MID00123_FID121891_COR_T2_FS_PROX_DIST.h5;meas_MID00124_FID134778_SAG_STIR.h5;meas_MID00125_FID121893_COR_T2_FS_PROX_DIST.h5;meas_MID00128_FID134782_SAG_T1.h5;meas_MID00132_FID134786_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_train,multicoil_train.tar.part-00009,7,meas_MID00210_FID130280_COR_T2_FS_PROX_DIST.h5;meas_MID00213_FID123579_SAG_T1.h5;meas_MID00215_FID123581_AX_PD_FS.h5;meas_MID00217_FID123583_COR_T2_FS_PROX_DIST.h5;meas_MID00218_FID130288_COR_T1_PROX_DIST.h5;meas_MID00219_FID123585_COR_T2_FS_PROX_DIST.h5;meas_MID00220_FID130290_COR_T1_PROX_DIST.h5
FOOT,multicoil_train,multicoil_train.tar.part-00008,5,meas_MID00197_FID123563_COR_T1_PRE.h5;meas_MID00202_FID130272_SAG_STIR.h5;meas_MID00204_FID130274_SAG_T1.h5;meas_MID00206_FID130276_AX_PD_FS.h5;meas_MID00208_FID130278_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_train,multicoil_train.tar.part-00003,4,meas_MID00091_FID126648_COR_T2_FS_PROX_DIST.h5;meas_MID00093_FID126650_COR_T2_FS_PROX_DIST.h5;meas_MID00102_FID126659_COR_T1.h5;meas_MID00108_FID126665_COR_T1.h5
FOOT,multicoil_train,multicoil_train.tar.part-00005,4,meas_MID00134_FID134788_COR_T2_FS_PROX_DIST.h5;meas_MID00137_FID134791_SAG_STIR.h5;meas_MID00140_FID134794_COR_STIR.h5;meas_MID00154_FID125280_SAG_T1.h5
FOOT,multicoil_train,multicoil_train.tar.part-00007,4,meas_MID00180_FID132373_SAG_T1.h5;meas_MID00184_FID132377_AX_PD_FS.h5;meas_MID00186_FID132379_COR_T2_FS_PROX_DIST.h5;meas_MID00188_FID132381_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_train,multicoil_train.tar.part-00023,4,meas_MID00457_FID120693_SAG_T1.h5;meas_MID00461_FID120697_COR_T2_FS_PROX_DIST.h5;meas_MID00463_FID120699_COR_T2_FS_PROX_DIST.h5;meas_MID00465_FID120701_AX_OBL_PD_FS.h5
FOOT,multicoil_val,multicoil_val.tar.part-00000,4,meas_MID00380_FID122148_SAG_T1.h5;meas_MID00390_FID122158_COR_T2_FS_PROX_DIST.h5;meas_MID00415_FID122183_SAG_T1_FS_POST.h5;meas_MID00413_FID122181_AX_T1_FS_POST.h5
FOOT,multicoil_train,multicoil_train.tar.part-00006,3,meas_MID00156_FID125282_AX_PD_FS.h5;meas_MID00158_FID125284_COR_T2_FS_PROX_DIST.h5;meas_MID00160_FID125286_COR_T2_FS_PROX_DIST.h5
