category,split,chunk,hip_count,filenames
HIP,multicoil_train,multicoil_train.tar.part-00013,15,meas_MID00263_FID131891_RT_AX_STIR_WARP.h5;meas_MID00264_FID115215_RT_AX_T2_WARP.h5;meas_MID00264_FID131892_RT_AX_T1_SUB_WARP.h5;meas_MID00265_FID119066_LT_AX_T2_WARP.h5;meas_MID00266_FID115217_RT_AX_STIR_WARP.h5;meas_MID00269_FID115220_RT_COR_T2_WARP.h5;meas_MID00269_FID118600_RT_COR_T2_TSE_FS.h5;meas_MID00270_FID115221_LT_SAG_STIR_WARP.h5;meas_MID00270_FID116741_RT_AX_STIR_WARP.h5;meas_MID00271_FID115222_LT_AX_STIR_WARP.h5;meas_MID00271_FID116742_RT_AX_T1_PRE_SUB_WARP.h5;meas_MID00272_FID115223_LT_AX_T2_WARP.h5;meas_MID00273_FID115224_LT_COR_T2_WARP.h5;meas_MID00279_FID115230_RT_AX_T1_PRE_SUB_WARP.h5;meas_MID00279_FID121561_COR_STIR_WARP__WHOLE_PELVIS.h5
HIP,multicoil_train,multicoil_train.tar.part-00014,12,meas_MID00280_FID115231_LT_AX_T1_PRE_SUB_WARP.h5;meas_MID00281_FID115232_LT_AX_T1_POST_SUB_WARP.h5;meas_MID00282_FID115233_RT_AX_T1_POST_SUB_WARP.h5;meas_MID00283_FID113754_COR_T1_WP.h5;meas_MID00284_FID115235_COR_T1_WARP__WHOLE_PELVIS.h5;meas_MID00284_FID117784_LT_COR_T2_TSE.h5;meas_MID00285_FID121567_COR_T1_WARP__WHOLE_PELVIS.h5;meas_MID00287_FID113758_LT_SAG_PD_FS.h5;meas_MID00290_FID113761_LT_COR_T2_TSE_FS.h5;meas_MID00292_FID113763_LT_AX_PD_FS_UNI.h5;meas_MID00292_FID121574_LT_SAG_STIR_WARP.h5;meas_MID00293_FID118624_AX_PD_FS_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00012,11,meas_MID00254_FID119055_COR_STIR_WARP__WHOLE_PELVIS.h5;meas_MID00255_FID119056_COR_T1_WARP__WHOLE_PELVIS.h5;meas_MID00256_FID131884_RT_SAG_STIR_WARP.h5;meas_MID00258_FID115209_RT_SAG_STIR_WARP.h5;meas_MID00258_FID131886_COR_T1_WARP__WHOLE_PELVIS.h5;meas_MID00259_FID116730_RT_SAG_STIR_WARP.h5;meas_MID00259_FID118590_AX_T1_WP.h5;meas_MID00260_FID116731_RT_AX_T2_WARP.h5;meas_MID00261_FID119062_LT_SAG_STIR_WARP.h5;meas_MID00261_FID131889_RT_COR_T2_WARP.h5;meas_MID00263_FID116734_RT_COR_T2_WARP.h5
HIP,multicoil_train,multicoil_train.tar.part-00004,9,meas_MID00109_FID124045_COR_T1_WP.h5;meas_MID00114_FID118012_RT_SAG_PD_FS.h5;meas_MID00115_FID116586_COR_T1_WP.h5;meas_MID00116_FID118014_RT_COR_T2_TSE_FS.h5;meas_MID00117_FID124053_RT_SAG_PD_FS.h5;meas_MID00119_FID116590_RT_SAG_PD_FS.h5;meas_MID00122_FID116593_RT_COR_T2_TSE_FS.h5;meas_MID00130_FID116601_RT_AX_PD_FS_UNI.h5;meas_MID00133_FID124069_RT_COR_T2_TSE_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00006,9,meas_MID00161_FID114205_AX_T1_WP.h5;meas_MID00162_FID130232_COR_STIR.h5;meas_MID00163_FID130233_COR_T1_WP.h5;meas_MID00165_FID114209_RT_COR_T2_TSE_FS.h5;meas_MID00167_FID111666_RT_COR_T2_TSE_FS.h5;meas_MID00168_FID111667_AX_T1_WP.h5;meas_MID00169_FID114213_AX_PD_FS_WP.h5;meas_MID00171_FID130241_RT_SAG_PD_FS.h5;meas_MID00173_FID130243_RT_COR_T2_TSE_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00011,8,meas_MID00245_FID116716_COR_STIR_WARP__WHOLE_PELVIS.h5;meas_MID00246_FID115197_COR_STIR_WARP__WHOLE_PELVIS.h5;meas_MID00248_FID116245_RT_SAG_PD_FS.h5;meas_MID00250_FID116721_COR_T1_WARP__WHOLE_PELVIS.h5;meas_MID00250_FID131878_COR_STIR_WARP__WHOLE_PELVIS.h5;meas_MID00253_FID116250_AX_PD_FS_WP.h5;meas_MID00253_FID131881_RT_AX_T2_WARP.h5;meas_MID00254_FID115205_COR_T1_WARP__WHOLE_PELVIS.h5
HIP,multicoil_test,multicoil_test.tar.part-00001,7,meas_MID00165_FID134281_RT_COR_T2_TSE.h5;meas_MID00226_FID116697_RT_SAG_PD_FS.h5;meas_MID00260_FID134914_LT_SAG_PD_FS.h5;meas_MID00234_FID116705_RT_AX_PD_FS_UNI.h5;meas_MID00068_FID125194_AX_PD_FS_WP.h5;meas_MID00510_FID123876_LT_SAG_PD_FS.h5;meas_MID00418_FID128926_COR_T1_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00003,7,meas_MID00092_FID110525_RT_SAG_PD_FS.h5;meas_MID00097_FID110530_RT_COR_T2_TSE_FS.h5;meas_MID00099_FID110532_LT_SAG_PD_FS.h5;meas_MID00101_FID110534_LT_COR_T2_TSE_FS.h5;meas_MID00103_FID110536_LT_AX_PD_FS_UNI.h5;meas_MID00104_FID118002_RT_AX_PD_FS_UNI.h5;meas_MID00105_FID118003_COR_T1_WP.h5
HIP,multicoil_test,multicoil_test.tar.part-00003,6,meas_MID00090_FID116561_AX_PD_FS_WP.h5;meas_MID00508_FID123874_LT_COR_T2_TSE.h5;meas_MID00235_FID114773_AX_PD_FS_WP.h5;meas_MID00423_FID128931_RT_SAG_PD_FS.h5;meas_MID00311_FID126868_RT_SAG_PD_FS.h5;meas_MID00517_FID123883_AX_PD_FS_WP.h5
HIP,multicoil_test,multicoil_test.tar.part-00005,6,meas_MID00231_FID116702_RT_COR_T2_TSE_FS.h5;meas_MID00417_FID128925_COR_STIR_WP.h5;meas_MID00079_FID116550_LT_COR_T2_TSE.h5;meas_MID00062_FID125188_LT_COR_T2_TSE.h5;meas_MID00244_FID134898_LT_AX_PD_FS_UNI.h5;meas_MID00231_FID114769_LT_SAG_PD_FS.h5
