category,split,chunk,knee_count,filenames
KNEE,multicoil_train,multicoil_train.tar.part-00005,20,meas_MID00135_FID129710_COR_PD_FS.h5;meas_MID00138_FID129713_SAG_T2_FS.h5;meas_MID00139_FID129714_SAG_PD.h5;meas_MID00140_FID129715_COR_T1.h5;meas_MID00142_FID129717_COR_PD_FS_ACL.h5;meas_MID00142_FID133787_COR_PD_FS.h5;meas_MID00143_FID126700_COR_PD_FS.h5;meas_MID00144_FID129719_AX_PD_FS.h5;meas_MID00144_FID133789_AX_PD_FS.h5;meas_MID00145_FID125666_COR_PD_FS.h5;meas_MID00145_FID126702_AX_PD_FS.h5;meas_MID00147_FID133792_SAG_T2_FS.h5;meas_MID00148_FID126705_SAG_T2_FS.h5;meas_MID00148_FID133793_SAG_PD.h5;meas_MID00149_FID125670_AX_PD_FS.h5;meas_MID00149_FID126706_SAG_PD.h5;meas_MID00149_FID133794_COR_T1.h5;meas_MID00150_FID126707_COR_T1.h5;meas_MID00154_FID125675_SAG_PD.h5;meas_MID00155_FID125676_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00000,19,meas_MID00018_FID110986_COR_PD_FS.h5;meas_MID00018_FID111995_COR_PD_FS.h5;meas_MID00020_FID110988_AX_PD_FS.h5;meas_MID00020_FID111997_AX_PD_FS.h5;meas_MID00023_FID110991_SAG_T2_FS.h5;meas_MID00023_FID112000_SAG_T2_FS.h5;meas_MID00024_FID110992_SAG_PD.h5;meas_MID00024_FID112001_SAG_PD.h5;meas_MID00025_FID110993_COR_T1.h5;meas_MID00025_FID112002_COR_T1.h5;meas_MID00027_FID110995_SAG_T2_FS.h5;meas_MID00027_FID112004_COR_PD_FS_ACL.h5;meas_MID00028_FID128536_COR_PD_FS.h5;meas_MID00030_FID128538_AX_PD_FS.h5;meas_MID00033_FID128541_SAG_T2_FS.h5;meas_MID00034_FID128542_SAG_PD.h5;meas_MID00036_FID128544_COR_T1.h5;meas_MID00037_FID128545_AX_STIR.h5;meas_MID00042_FID126599_COR_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00002,19,meas_MID00067_FID126624_SAG_PD.h5;meas_MID00067_FID129027_AX_PD_FS.h5;meas_MID00068_FID126625_COR_T1.h5;meas_MID00069_FID129029_COR_PD_FS.h5;meas_MID00070_FID126627_COR_PD_FS_ACL.h5;meas_MID00070_FID129030_SAG_PD.h5;meas_MID00073_FID129033_SAG_T2_FS.h5;meas_MID00074_FID121356_AX_STIR_WARP.h5;meas_MID00074_FID129034_COR_T1.h5;meas_MID00076_FID121358_COR_STIR_WARP.h5;meas_MID00076_FID129036_COR_PD_FS_ACL.h5;meas_MID00080_FID121362_SAG_PD_WARP.h5;meas_MID00081_FID114125_COR_PD_FS.h5;meas_MID00081_FID121363_COR_T1_WARP.h5;meas_MID00082_FID121364_AX_T1_WARP.h5;meas_MID00083_FID114127_AX_PD_FS.h5;meas_MID00086_FID114130_SAG_T2_FS.h5;meas_MID00087_FID114131_SAG_PD.h5;meas_MID00088_FID114132_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00021,19,meas_MID00414_FID121696_SAG_PD.h5;meas_MID00414_FID129989_COR_PD_FS.h5;meas_MID00414_FID132607_AX_PD_FS.h5;meas_MID00415_FID121697_COR_T1.h5;meas_MID00415_FID129990_COR_T1.h5;meas_MID00416_FID126973_SAG_T2_FS.h5;meas_MID00417_FID126974_SAG_PD.h5;meas_MID00417_FID129992_AX_PD_FS.h5;meas_MID00418_FID126975_COR_T1.h5;meas_MID00418_FID132611_SAG_T2_FS.h5;meas_MID00419_FID132612_SAG_PD.h5;meas_MID00420_FID126977_COR_PD_FS_ACL.h5;meas_MID00420_FID129995_SAG_T2_FS.h5;meas_MID00420_FID132613_COR_T1.h5;meas_MID00421_FID129996_SAG_PD.h5;meas_MID00428_FID122196_COR_PD_FS.h5;meas_MID00430_FID122198_AX_PD_FS.h5;meas_MID00433_FID122201_SAG_T2_FS.h5;meas_MID00434_FID122202_SAG_PD.h5
KNEE,multicoil_train,multicoil_train.tar.part-00015,16,meas_MID00295_FID111794_SAG_T2_FS.h5;meas_MID00296_FID111795_SAG_PD.h5;meas_MID00297_FID111796_COR_T1.h5;meas_MID00297_FID127346_SAG_PD.h5;meas_MID00298_FID127347_COR_T1.h5;meas_MID00306_FID113276_COR_PD_FS.h5;meas_MID00307_FID114351_COR_PD_FS.h5;meas_MID00308_FID113278_AX_PD_FS.h5;meas_MID00309_FID114353_AX_PD_FS.h5;meas_MID00311_FID113281_SAG_T2_FS.h5;meas_MID00312_FID113282_SAG_PD.h5;meas_MID00312_FID114356_SAG_T2_FS.h5;meas_MID00313_FID113283_COR_T1.h5;meas_MID00313_FID114357_SAG_PD.h5;meas_MID00314_FID114358_COR_T1.h5;meas_MID00315_FID113285_COR_PD_FS_S_P_ACL_ANG_DIXON.h5
KNEE,multicoil_test,multicoil_test.tar.part-00000,15,meas_MID00025_FID125151_COR_T1.h5;meas_MID00490_FID127047_COR_PD_FS.h5;meas_MID00051_FID118852_COR_PD_FS_ACL.h5;meas_MID00042_FID118843_COR_PD_FS.h5;meas_MID00379_FID116850_SAG_PD.h5;meas_MID00485_FID113956_COR_PD_FS.h5;meas_MID00378_FID120614_SAG_PD.h5;meas_MID00276_FID116273_COR_PD_FS.h5;meas_MID00367_FID128875_AX_PD_FS.h5;meas_MID00044_FID118845_AX_PD_FS.h5;meas_MID00062_FID118863_COR_PD_FS.h5;meas_MID00371_FID128879_SAG_PD.h5;meas_MID00510_FID111478_AX_PD_FS.h5;meas_MID00379_FID120615_COR_T1.h5;meas_MID00497_FID127054_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00017,15,meas_MID00341_FID124277_COR_PD_FS.h5;meas_MID00343_FID124279_AX_PD_FS.h5;meas_MID00347_FID124283_SAG_PD.h5;meas_MID00347_FID130417_COR_PD_FS.h5;meas_MID00349_FID115861_COR_PD_FS.h5;meas_MID00349_FID124285_COR_T1.h5;meas_MID00349_FID130419_AX_PD_FS.h5;meas_MID00350_FID124286_COR_STIR.h5;meas_MID00351_FID115863_AX_PD_FS.h5;meas_MID00352_FID124288_COR_PD_FS_S_P_ACL_ANG_DIXON.h5;meas_MID00352_FID130422_SAG_T2_FS.h5;meas_MID00353_FID130423_SAG_PD.h5;meas_MID00354_FID115866_SAG_T2_FS.h5;meas_MID00354_FID130424_COR_T1.h5;meas_MID00355_FID115867_SAG_PD.h5
KNEE,multicoil_train,multicoil_train.tar.part-00018,13,meas_MID00356_FID115868_COR_T1.h5;meas_MID00358_FID115870_SAG_T2_FS.h5;meas_MID00359_FID131987_COR_PD_FS.h5;meas_MID00361_FID131989_AX_PD_FS.h5;meas_MID00364_FID131992_SAG_T2_FS.h5;meas_MID00365_FID118696_COR_PD_FS.h5;meas_MID00365_FID131993_SAG_PD.h5;meas_MID00366_FID130436_COR_PD_FS.h5;meas_MID00366_FID131994_COR_T1.h5;meas_MID00367_FID118698_AX_PD_FS.h5;meas_MID00368_FID130438_AX_PD_FS.h5;meas_MID00368_FID131996_COR_PD_FS_S_P_ACL_ANG_DIXON.h5;meas_MID00370_FID118701_SAG_T2_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00020,13,meas_MID00398_FID111897_COR_PD_FS.h5;meas_MID00398_FID120634_SAG_PD.h5;meas_MID00399_FID120635_COR_T1.h5;meas_MID00400_FID111899_AX_PD_FS.h5;meas_MID00403_FID111902_SAG_T2_FS.h5;meas_MID00404_FID111903_SAG_PD.h5;meas_MID00405_FID111904_COR_T1.h5;meas_MID00408_FID121690_COR_PD_FS.h5;meas_MID00410_FID121692_AX_PD_FS.h5;meas_MID00411_FID126968_COR_PD_FS.h5;meas_MID00412_FID132605_COR_PD_FS.h5;meas_MID00413_FID121695_SAG_T2_FS.h5;meas_MID00413_FID126970_AX_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00022,13,meas_MID00435_FID114479_COR_PD_FS.h5;meas_MID00435_FID122203_COR_T1.h5;meas_MID00435_FID125956_COR_PD_FS.h5;meas_MID00437_FID114481_AX_PD_FS.h5;meas_MID00437_FID125958_AX_PD_FS.h5;meas_MID00440_FID114484_SAG_T2_FS.h5;meas_MID00440_FID125961_SAG_T2_FS.h5;meas_MID00441_FID114485_SAG_PD.h5;meas_MID00441_FID125962_SAG_PD.h5;meas_MID00442_FID114486_COR_T1.h5;meas_MID00442_FID125963_COR_T1.h5;meas_MID00453_FID130523_COR_PD_FS.h5;meas_MID00455_FID130525_AX_PD_FS.h5
