category,split,chunk,leg_tibfib_count,filenames
LEG_TIBFIB,multicoil_train,multicoil_train.tar.part-00007,5,meas_MID00179_FID120875_COR_STIR.h5;meas_MID00186_FID120882_COR_STIR.h5;meas_MID00187_FID120883_COR_T1.h5;meas_MID00188_FID120884_COR_T1.h5;meas_MID00193_FID120889_RT_SAG_T2_FS_DIXON.h5
LEG_TIBFIB,multicoil_train,multicoil_train.tar.part-00008,4,meas_MID00198_FID120894_RT_SAG_T2_FS_DIXON.h5;meas_MID00201_FID120897_RT_AX_PD_FS.h5;meas_MID00203_FID120899_RT_AX_PD_FS.h5;meas_MID00207_FID120903_LT_AX_PD_FS.h5
LEG_TIBFIB,multicoil_test,multicoil_test.tar.part-00002,3,meas_MID00170_FID135286_LT_AX_T1.h5;meas_MID00145_FID135261_COR_T1.h5;meas_MID00168_FID135284_LT_AX_PD_FS.h5
LEG_TIBFIB,multicoil_val,multicoil_val.tar.part-00005,3,meas_MID00168_FID116165_RT_SAG_T2_FS_DIXON.h5;meas_MID00156_FID116153_RT_AX_PD_FS.h5;meas_MID00147_FID116144_RT_AX_T1.h5
LEG_TIBFIB,multicoil_test,multicoil_test.tar.part-00003,2,meas_MID00159_FID135275_LT_AX_PD_FS.h5;meas_MID00150_FID135266_LT_SAG_T2_FS_DIXON.h5
LEG_TIBFIB,multicoil_train,multicoil_train.tar.part-00009,2,meas_MID00218_FID120914_LT_SAG_T2_FS_DIXON.h5;meas_MID00227_FID120923_LT_SAG_T2_FS_DIXON.h5
LEG_TIBFIB,multicoil_val,multicoil_val.tar.part-00001,2,meas_MID00152_FID116149_RT_AX_T1.h5;meas_MID00172_FID116169_RT_AX_STIR.h5
LEG_TIBFIB,multicoil_val,multicoil_val.tar.part-00002,2,meas_MID00165_FID116162_RT_SAG_T2_FS_DIXON.h5;meas_MID00175_FID116172_RT_AX_STIR.h5
LEG_TIBFIB,multicoil_test,multicoil_test.tar.part-00000,1,meas_MID00172_FID135288_LT_AX_T1.h5
LEG_TIBFIB,multicoil_test,multicoil_test.tar.part-00001,1,meas_MID00176_FID135292_LT_AX_T1_PG_FS.h5
LEG_TIBFIB,multicoil_test,multicoil_test.tar.part-00004,1,meas_MID00143_FID135259_COR_STIR.h5
LEG_TIBFIB,multicoil_train,multicoil_train.tar.part-00010,1,meas_MID00229_FID120925_BIL_AX_T1.h5
LEG_TIBFIB,multicoil_val,multicoil_val.tar.part-00004,1,meas_MID00158_FID116155_RT_AX_PD_FS.h5
