category,split,chunk,pelvis_pubalgia_count,filenames
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00005,5,meas_MID00136_FID115648_RT_COR_T2_TSE_FS.h5;meas_MID00141_FID116612_COR_T1_WP.h5;meas_MID00145_FID116616_LT_SAG_PD_FS.h5;meas_MID00150_FID116621_LT_AX_PD_FS_UNI.h5;meas_MID00154_FID116625_COR_OBL_T2_FS.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00004,4,meas_MID00109_FID115621_COR_T1_WP.h5;meas_MID00119_FID115631_RT_SAG_PD_FS.h5;meas_MID00121_FID115633_LT_SAG_PD_FS.h5;meas_MID00128_FID115640_AX_T1.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00018,4,meas_MID00355_FID135471_COR_T1_WP.h5;meas_MID00367_FID135483_UNI_SAG_PD_FS_RT.h5;meas_MID00369_FID135485_UNI_SAG_PD_FS_LT.h5;meas_MID00370_FID135486_AX_T1.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00020,4,meas_MID00398_FID135514_UNI_SAG_PD_FS_RT.h5;meas_MID00400_FID135516_UNI_SAG_PD_FS_LT.h5;meas_MID00405_FID135521_AX_T1.h5;meas_MID00413_FID135529_COR_OBL_T1.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00001,3,meas_MID00052_FID123988_COR_T1_WP.h5;meas_MID00058_FID123994_AX_T2_FS_WP.h5;meas_MID00063_FID123999_LT_SAG_PD_FS.h5
PELVIS_PUBALGIA,multicoil_test,multicoil_test.tar.part-00000,2,meas_MID00252_FID130322_COR_T1_WP.h5;meas_MID00259_FID130329_AX_OBL_PD_FS.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00017,2,meas_MID00343_FID123709_AX_T2_FS_WP.h5;meas_MID00353_FID123719_AX_T1.h5
PELVIS_PUBALGIA,multicoil_test,multicoil_test.tar.part-00004,1,meas_MID00254_FID130324_AX_OBL_T2_FS.h5
PELVIS_PUBALGIA,multicoil_test,multicoil_test.tar.part-00005,1,meas_MID00251_FID130321_SAG_PD_FS_SYM_PUB.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00002,1,meas_MID00068_FID124004_AX_T1.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00016,1,meas_MID00338_FID123704_COR_T1_WP.h5
PELVIS_PUBALGIA,multicoil_train,multicoil_train.tar.part-00019,1,meas_MID00383_FID135499_COR_T1_WP.h5
PELVIS_PUBALGIA,multicoil_val,multicoil_val.tar.part-00002,1,meas_MID00471_FID111439_UNI_SAG_PD_FS_RT.h5
PELVIS_PUBALGIA,multicoil_val,multicoil_val.tar.part-00003,1,meas_MID00480_FID111448_AX_T1.h5
PELVIS_PUBALGIA,multicoil_val,multicoil_val.tar.part-00004,1,meas_MID00473_FID111441_UNI_SAG_PD_FS_LT.h5
PELVIS_PUBALGIA,multicoil_val,multicoil_val.tar.part-00005,1,meas_MID00478_FID111446_AX_T1.h5
PELVIS_PUBALGIA,multicoil_val,multicoil_val.tar.part-00006,1,meas_MID00462_FID111430_COR_T1_WP.h5
