category,split,chunk,shoulder_count,filenames
SHOULDER,multicoil_train,multicoil_train.tar.part-00025,22,meas_MID00520_FID113991_ANGLE_SAG_T2_FS.h5;meas_MID00522_FID113993_COR_T2_FS.h5;meas_MID00524_FID113995_SAG_T2_FS.h5;meas_MID00524_FID117462_AX_PD_FS.h5;meas_MID00526_FID113997_COR_T2_FS.h5;meas_MID00526_FID121222_AX_PD_FS.h5;meas_MID00528_FID121224_SAG_T2_FS.h5;meas_MID00530_FID115481_AX_PD_FS.h5;meas_MID00530_FID121226_COR_T2_FS.h5;meas_MID00531_FID121227_COR_T1.h5;meas_MID00532_FID115483_SAG_T2_FS.h5;meas_MID00532_FID117470_SAG_T2_FS.h5;meas_MID00534_FID115485_COR_T2_FS.h5;meas_MID00534_FID117472_COR_T2_FS.h5;meas_MID00535_FID115486_COR_T1.h5;meas_MID00537_FID115488_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00537_FID117475_OBL_SAG_T1_FULL.h5;meas_MID00539_FID117477_SAG_DBL_OBL_T2_FS.h5;meas_MID00541_FID115492_ANGLE_SAG_T2_FS.h5;meas_MID00541_FID121237_OBL_SAG_T1_FULL.h5;meas_MID00543_FID115494_COR_T2_FS.h5;meas_MID00543_FID121239_SAG_DBL_OBL_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00003,21,meas_MID00092_FID114630_SAG_PD_FS.h5;meas_MID00094_FID111593_AX_PD_FS.h5;meas_MID00094_FID121376_AX_PD_FS.h5;meas_MID00095_FID114633_COR_T1.h5;meas_MID00096_FID111595_SAG_T2_FS.h5;meas_MID00097_FID114635_COR_T2_FS.h5;meas_MID00098_FID111597_COR_T2_FS.h5;meas_MID00098_FID121380_SAG_T2_FS.h5;meas_MID00098_FID134752_AX_PD_FS.h5;meas_MID00100_FID111599_COR_T1.h5;meas_MID00100_FID121382_COR_T2_FS.h5;meas_MID00101_FID111600_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00101_FID121383_COR_T1.h5;meas_MID00102_FID114640_COR_T2_FS.h5;meas_MID00102_FID134756_SAG_T2_FS.h5;meas_MID00103_FID111602_ANGLE_SAG_T2_FS.h5;meas_MID00104_FID134758_COR_T2_FS.h5;meas_MID00105_FID111604_COR_T2_FS_AC.h5;meas_MID00106_FID111605_COR_T1_AC.h5;meas_MID00106_FID134760_OBL_SAG_T1_FULL.h5;meas_MID00108_FID121390_OBLIQUE_SAG_T1_CUFF.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00024,17,meas_MID00484_FID121180_SAG_DBL_OBL_T2_FS.h5;meas_MID00489_FID121771_OBL_SAG_T1_FULL.h5;meas_MID00491_FID121773_SAG_DBL_OBL_T2_FS.h5;meas_MID00491_FID132119_OBL_SAG_T1_FULL.h5;meas_MID00493_FID132121_SAG_DBL_OBL_T2_FS.h5;meas_MID00500_FID115451_AX_PD_FS.h5;meas_MID00502_FID115453_SAG_T2_FS.h5;meas_MID00504_FID113975_AX_PD_FS.h5;meas_MID00504_FID115455_COR_T2_FS.h5;meas_MID00505_FID115456_COR_T1.h5;meas_MID00506_FID113977_SAG_T2_FS.h5;meas_MID00514_FID115465_OBL_SAG_T1_FULL.h5;meas_MID00515_FID113986_COR_T2_FS.h5;meas_MID00516_FID115467_SAG_DBL_OBL_T2_FS.h5;meas_MID00517_FID113988_COR_T1.h5;meas_MID00518_FID113989_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00518_FID115469_COR_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00023,16,meas_MID00459_FID114503_AX_PD_FS.h5;meas_MID00461_FID114505_SAG_T2_FS.h5;meas_MID00463_FID114507_COR_T2_FS.h5;meas_MID00464_FID114508_COR_T1.h5;meas_MID00468_FID114512_OBL_SAG_T1_FULL.h5;meas_MID00470_FID114514_SAG_DBL_OBL_T2_FS.h5;meas_MID00472_FID114516_COR_T2_FS.h5;meas_MID00474_FID121756_AX_PD_FS.h5;meas_MID00475_FID132103_AX_PD_FS.h5;meas_MID00476_FID121758_SAG_T2_FS.h5;meas_MID00478_FID121760_COR_T2_FS.h5;meas_MID00479_FID121761_COR_T1.h5;meas_MID00479_FID132107_SAG_T2_FS.h5;meas_MID00481_FID132109_COR_T2_FS.h5;meas_MID00482_FID121178_OBL_SAG_T1_FULL.h5;meas_MID00482_FID132110_COR_T1.h5
SHOULDER,multicoil_test,multicoil_test.tar.part-00004,13,meas_MID00591_FID124527_SAG_DBL_OBL_T2_FS.h5;meas_MID00384_FID121080_SAG_T2_FS.h5;meas_MID00131_FID114669_COR_T1.h5;meas_MID00277_FID134931_AX_PD_FS.h5;meas_MID00238_FID118569_COR_T1.h5;meas_MID00210_FID116207_COR_T2_FS.h5;meas_MID00049_FID117947_COR_T2_FS.h5;meas_MID00202_FID116199_COR_T1_FS.h5;meas_MID00608_FID124544_COR_T1.h5;meas_MID00387_FID121083_COR_T1.h5;meas_MID00100_FID121868_OBL_SAG_T1_FULL.h5;meas_MID00290_FID134944_OBL_SAG_T1_FULL.h5;meas_MID00279_FID134933_SAG_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00006,13,meas_MID00158_FID131786_AX_PD_FS.h5;meas_MID00160_FID131788_SAG_T2_FS.h5;meas_MID00162_FID131790_COR_T2_FS.h5;meas_MID00168_FID113138_AX_PD_FS.h5;meas_MID00170_FID113140_SAG_T2_FS.h5;meas_MID00170_FID131798_OBL_SAG_T1_FULL.h5;meas_MID00171_FID116642_AX_PD_FS.h5;meas_MID00171_FID127220_AX_PD.h5;meas_MID00172_FID113142_COR_T2_FS.h5;meas_MID00172_FID131800_SAG_DBL_OBL_T2_FS.h5;meas_MID00173_FID113143_COR_T1.h5;meas_MID00173_FID116644_SAG_T2_FS.h5;meas_MID00173_FID131801_COR_T1.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00007,13,meas_MID00174_FID127223_AX_WARP_STIR.h5;meas_MID00175_FID116646_COR_T2_FS.h5;meas_MID00177_FID116648_OBL_SAG_T1_FULL.h5;meas_MID00177_FID127226_COR_T2_FS.h5;meas_MID00178_FID127227_COR_T1.h5;meas_MID00179_FID127228_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00180_FID113150_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00181_FID116652_COR_T1.h5;meas_MID00182_FID127231_SAG_STIR_WARP.h5;meas_MID00184_FID113154_ANGLE_SAG_T2_FS.h5;meas_MID00184_FID127233_ANGLE_SAG_T2_FS.h5;meas_MID00186_FID113156_COR_T2_FS.h5;meas_MID00192_FID121960_AX_PD_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00014,13,meas_MID00280_FID122048_COR_T2_FS.h5;meas_MID00280_FID132473_COR_T2_FS.h5;meas_MID00281_FID122049_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00281_FID132474_COR_T1.h5;meas_MID00283_FID113253_SAG_T2_FS.h5;meas_MID00285_FID113255_COR_T2_FS.h5;meas_MID00285_FID122053_ANGLE_SAG_T2_FS.h5;meas_MID00286_FID113256_COR_T1.h5;meas_MID00286_FID118184_AX_PD_FS.h5;meas_MID00290_FID132483_OBL_SAG_T1_FULL.h5;meas_MID00292_FID118190_COR_T2_FS.h5;meas_MID00292_FID132485_SAG_DBL_OBL_T2_FS.h5;meas_MID00293_FID113263_OBLIQUE_SAG_T1_CUFF.h5
SHOULDER,multicoil_test,multicoil_test.tar.part-00002,12,meas_MID00280_FID134396_COR_T1_FS.h5;meas_MID00198_FID116195_AX_T1_FS.h5;meas_MID00322_FID127371_COR_T2_FS.h5;meas_MID00120_FID114658_AX_PD_FS.h5;meas_MID00292_FID134946_SAG_DBL_OBL_T2_FS.h5;meas_MID00275_FID115787_SAG_T2_FS.h5;meas_MID00235_FID118566_SAG_PD_FS.h5;meas_MID00128_FID114666_OBL_SAG_T1_FULL.h5;meas_MID00386_FID121082_COR_T2_FS.h5;meas_MID00281_FID115793_ANGLE_SAG_T2_FS.h5;meas_MID00310_FID127359_AX_T1_FS.h5;meas_MID00278_FID134394_COR_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00013,12,meas_MID00264_FID132457_COR_T2_FS.h5;meas_MID00266_FID123632_ANGLE_SAG_T2_FS.h5;meas_MID00270_FID122038_AX_PD_FS.h5;meas_MID00272_FID122040_SAG_T2_FS.h5;meas_MID00274_FID111773_COR_T2_FS.h5;meas_MID00275_FID111774_COR_T1.h5;meas_MID00276_FID122044_COR_T2_FS.h5;meas_MID00276_FID132469_AX_PD_FS.h5;meas_MID00277_FID113247_AX_PD_FS.h5;meas_MID00278_FID122046_COR_T1.h5;meas_MID00278_FID132471_SAG_T2_FS.h5;meas_MID00279_FID113249_AX_PD_FS.h5
