category,split,chunk,spine_count,filenames
SPINE,multicoil_train,multicoil_train.tar.part-00016,75,meas_MID00317_FID110750_SAG_STIR.h5;meas_MID00317_FID111816_SAG_T1.h5;meas_MID00317_FID118648_COR_T2.h5;meas_MID00317_FID134971_AX_T2_ANGLE_DISC.h5;meas_MID00318_FID111817_SAG_STIR.h5;meas_MID00318_FID120554_SAG_STIR.h5;meas_MID00319_FID120555_RT_COR_T2_OBL.h5;meas_MID00319_FID124255_AX_T2.h5;meas_MID00320_FID112297_SAG_T2.h5;meas_MID00320_FID118651_SAG_T2.h5;meas_MID00320_FID120556_LT_COR_T2_OBL.h5;meas_MID00320_FID128828_SAG_T2.h5;meas_MID00321_FID111820_AX_T2_ANGLE_DISC.h5;meas_MID00321_FID112298_SAG_T1.h5;meas_MID00321_FID118652_SAG_T1.h5;meas_MID00321_FID128829_SAG_T1.h5;meas_MID00321_FID130391_COR_T2.h5;meas_MID00322_FID112299_SAG_STIR.h5;meas_MID00322_FID118653_SAG_STIR.h5;meas_MID00322_FID128830_SAG_STIR.h5;meas_MID00323_FID110756_AX_T2.h5;meas_MID00323_FID118654_AX_T2_ANGLE_DISC.h5;meas_MID00323_FID128831_AX_T2_P2.h5;meas_MID00323_FID130393_SAG_T2.h5;meas_MID00323_FID134977_AX_T2_P2.h5;meas_MID00324_FID121606_COR_T2.h5;meas_MID00324_FID128832_AX_T2_ANGLE_DISC.h5;meas_MID00324_FID130394_SAG_T1.h5;meas_MID00324_FID135440_COR_T2.h5;meas_MID00325_FID111824_AX_T2_P2.h5;meas_MID00325_FID112302_AX_T2.h5;meas_MID00325_FID117825_COR_T2.h5;meas_MID00325_FID121607_SAG_T2.h5;meas_MID00325_FID124261_AX_T2.h5;meas_MID00325_FID126882_COR_T2.h5;meas_MID00325_FID130395_SAG_STIR.h5;meas_MID00326_FID121608_SAG_T1.h5;meas_MID00326_FID124262_AX_T2_ANGLE_DISC.h5;meas_MID00326_FID128834_AX_T2_P2.h5;meas_MID00326_FID130396_AX_T2_ANGLE_DISC.h5;meas_MID00327_FID114371_COR_T2.h5;meas_MID00327_FID117827_SAG_T2.h5;meas_MID00327_FID121609_SAG_STIR.h5;meas_MID00327_FID126884_SAG_T2.h5;meas_MID00328_FID117828_SAG_T1.h5;meas_MID00328_FID126885_SAG_T1.h5;meas_MID00328_FID135444_SAG_T2.h5;meas_MID00329_FID110762_AX_T2.h5;meas_MID00329_FID117829_SAG_STIR.h5;meas_MID00329_FID118660_AX_T2.h5;meas_MID00329_FID126886_SAG_STIR.h5;meas_MID00329_FID135445_SAG_T1.h5;meas_MID00330_FID135446_SAG_STIR.h5;meas_MID00331_FID112308_AX_T2.h5;meas_MID00331_FID114375_SAG_T2.h5;meas_MID00331_FID135447_AX_T2_ANGLE_DISC.h5;meas_MID00332_FID126889_AX_T2_ANGLE_DISC.h5;meas_MID00332_FID130402_AX_T2_P2.h5;meas_MID00334_FID114378_SAG_T1.h5;meas_MID00334_FID117834_AX_T2_ANGLE_DISC.h5;meas_MID00334_FID132527_COR_T2.h5;meas_MID00335_FID114379_SAG_STIR.h5;meas_MID00335_FID117835_AX_T2_P2.h5;meas_MID00335_FID121617_AX_T2_WARP.h5;meas_MID00335_FID126892_AX_T2_P2.h5;meas_MID00335_FID132528_SAG_T2.h5;meas_MID00336_FID117836_AX_T2.h5;meas_MID00336_FID132529_SAG_T1.h5;meas_MID00337_FID132530_SAG_STIR.h5;meas_MID00337_FID135453_AX_T2_P2.h5;meas_MID00338_FID114382_AX_T2_ANGLE_DISC.h5;meas_MID00338_FID128846_COR_T2.h5;meas_MID00338_FID133983_COR_T2.h5;meas_MID00339_FID113810_COR_T2.h5;meas_MID00339_FID133984_SAG_T2.h5
SPINE,multicoil_train,multicoil_train.tar.part-00019,57,meas_MID00371_FID113842_SAG_T1.h5;meas_MID00371_FID121653_RT_COR_T2_OBL.h5;meas_MID00371_FID132564_SAG_T1.h5;meas_MID00372_FID121654_LT_COR_T2_OBL.h5;meas_MID00372_FID132565_SAG_STIR.h5;meas_MID00373_FID113844_AX_T2_ANGLE_DISC.h5;meas_MID00373_FID114911_COR_T2.h5;meas_MID00373_FID118271_COR_T2.h5;meas_MID00373_FID124309_SAG_T1.h5;meas_MID00373_FID132566_AX_T2_ANGLE_DISC.h5;meas_MID00374_FID124310_AXIAL_T2.h5;meas_MID00374_FID132567_AX_T2_P2.h5;meas_MID00375_FID112352_AX_T2.h5;meas_MID00375_FID118273_SAG_T2.h5;meas_MID00375_FID123741_AX_T2_ANGLE_DISC.h5;meas_MID00376_FID118274_SAG_T1.h5;meas_MID00377_FID118275_SAG_STIR.h5;meas_MID00378_FID114916_SAG_T2.h5;meas_MID00378_FID118276_AX_T2_ANGLE_DISC.h5;meas_MID00379_FID113850_AX_T2_P2.h5;meas_MID00379_FID132572_COR_T2.h5;meas_MID00380_FID114918_SAG_T1.h5;meas_MID00380_FID118278_AX_T2_P2.h5;meas_MID00380_FID124316_AXIAL_T2.h5;meas_MID00381_FID123747_AX_T2.h5;meas_MID00381_FID128889_COR_T2.h5;meas_MID00382_FID114920_SAG_STIR.h5;meas_MID00382_FID124318_SAG_STIR.h5;meas_MID00382_FID128890_SAG_T2.h5;meas_MID00383_FID114427_COR_T2.h5;meas_MID00383_FID114921_AX_T2_ANGLE_DISC.h5;meas_MID00384_FID114428_SAG_T2.h5;meas_MID00385_FID121667_COR_T2.h5;meas_MID00385_FID124321_RT_COR_T2_OBL.h5;meas_MID00385_FID130455_COR_T2.h5;meas_MID00386_FID124322_LT_COR_T2_OBL.h5;meas_MID00386_FID128894_SAG_T1.h5;meas_MID00386_FID130456_SAG_T2.h5;meas_MID00387_FID113858_COR_OBL_T1.h5;meas_MID00387_FID123753_AX_T2.h5;meas_MID00388_FID114432_SAG_T1.h5;meas_MID00389_FID121671_SAG_T2.h5;meas_MID00389_FID128897_AX_T2.h5;meas_MID00390_FID114928_AX_T2_P2.h5;meas_MID00390_FID121672_SAG_T1.h5;meas_MID00390_FID130460_SAG_T1.h5;meas_MID00391_FID114435_AX_T2.h5;meas_MID00391_FID121673_SAG_STIR.h5;meas_MID00391_FID128899_SAG_STIR.h5;meas_MID00392_FID121674_AX_T2_ANGLE_DISC.h5;meas_MID00393_FID114437_SAG_STIR.h5;meas_MID00393_FID121675_AX_T2.h5;meas_MID00394_FID114438_RT_COR_T2_OBL.h5;meas_MID00394_FID130464_AX_T2.h5;meas_MID00395_FID114439_LT_COR_T2_OBL.h5;meas_MID00396_FID114934_AX_T2.h5;meas_MID00396_FID130466_SAG_STIR.h5
SPINE,multicoil_train,multicoil_train.tar.part-00022,50,meas_MID00435_FID115386_SAG_T2.h5;meas_MID00436_FID111404_SAG_T1.h5;meas_MID00436_FID113907_LT_COR_T2_OBL.h5;meas_MID00436_FID120672_AX_T2.h5;meas_MID00437_FID111405_AXIAL_T2.h5;meas_MID00438_FID120674_SAG_STIR.h5;meas_MID00439_FID115390_SAG_T1.h5;meas_MID00439_FID120675_RT_COR_T2_OBL.h5;meas_MID00440_FID120676_LT_COR_T2_OBL.h5;meas_MID00441_FID134086_COR_T2.h5;meas_MID00442_FID115393_AX_T2.h5;meas_MID00443_FID111411_AXIAL_T2.h5;meas_MID00443_FID127000_COR_T2.h5;meas_MID00443_FID132071_COR_T2.h5;meas_MID00444_FID111412_SAG_STIR.h5;meas_MID00444_FID115395_SAG_STIR.h5;meas_MID00444_FID127001_SAG_T2.h5;meas_MID00445_FID111413_RT_COR_T2_OBL.h5;meas_MID00445_FID130020_COR_T2.h5;meas_MID00445_FID134090_SAG_T2.h5;meas_MID00446_FID111414_LT_COR_T2_OBL.h5;meas_MID00446_FID112423_COR_T2.h5;meas_MID00446_FID130021_SAG_T2.h5;meas_MID00446_FID134091_SAG_T1.h5;meas_MID00447_FID112424_COR_T2.h5;meas_MID00447_FID130022_SAG_T1.h5;meas_MID00447_FID132075_SAG_T2.h5;meas_MID00447_FID134092_SAG_STIR.h5;meas_MID00448_FID112425_SAG_T2.h5;meas_MID00448_FID119249_COR_T2.h5;meas_MID00448_FID127005_SAG_T1.h5;meas_MID00448_FID130023_SAG_STIR.h5;meas_MID00448_FID132076_SAG_T1.h5;meas_MID00448_FID134093_AX_T2_ANGLE_DISC.h5;meas_MID00449_FID132077_SAG_STIR.h5;meas_MID00450_FID115401_RT_COR_T2_OBL.h5;meas_MID00451_FID115402_LT_COR_T2_OBL.h5;meas_MID00451_FID127008_AX_T2.h5;meas_MID00451_FID134096_AX_T2_P2.h5;meas_MID00452_FID112429_SAG_T1.h5;meas_MID00452_FID119253_SAG_T2.h5;meas_MID00452_FID132080_AX_T2_ANGLE_DISC.h5;meas_MID00453_FID119254_SAG_T1.h5;meas_MID00453_FID127010_SAG_STIR.h5;meas_MID00454_FID119255_SAG_STIR.h5;meas_MID00454_FID130029_AX_T2_T_SP.h5;meas_MID00455_FID112432_AX_T2.h5;meas_MID00455_FID115967_COR_T2.h5;meas_MID00457_FID112434_SAG_STIR.h5;meas_MID00457_FID115969_SAG_T2.h5
SPINE,multicoil_train,multicoil_train.tar.part-00010,49,meas_MID00227_FID124163_SAG_T1.h5;meas_MID00227_FID125748_SAG_T1.h5;meas_MID00227_FID126784_SAG_T2.h5;meas_MID00227_FID135343_SAG_T2.h5;meas_MID00228_FID113198_AX_T2.h5;meas_MID00228_FID117728_COR_T2.h5;meas_MID00228_FID124164_SAG_STIR.h5;meas_MID00228_FID132421_SAG_T1.h5;meas_MID00228_FID135344_SAG_T1.h5;meas_MID00229_FID117729_SAG_T2.h5;meas_MID00229_FID121511_AX_T2_ANGLE_DISC.h5;meas_MID00229_FID125750_SAG_STIR.h5;meas_MID00229_FID128737_AX_T2_ANGLE_DISC.h5;meas_MID00229_FID135345_SAG_STIR.h5;meas_MID00230_FID110663_COR_T2.h5;meas_MID00230_FID113200_SAG_STIR.h5;meas_MID00230_FID117730_SAG_T1.h5;meas_MID00231_FID113201_RT_COR_T2_OBL.h5;meas_MID00231_FID117731_SAG_STIR.h5;meas_MID00231_FID125752_LT_COR_T2_OBL.h5;meas_MID00231_FID126788_SAG_T1.h5;meas_MID00231_FID132424_AX_T2.h5;meas_MID00231_FID135347_AX_T2_ANGLE_DISC.h5;meas_MID00232_FID113202_LT_COR_T2_OBL.h5;meas_MID00232_FID117732_AX_T2_P2.h5;meas_MID00233_FID110666_SAG_T2.h5;meas_MID00233_FID113203_AXIAL_T2.h5;meas_MID00233_FID132426_SAG_STIR.h5;meas_MID00234_FID110667_SAG_T1.h5;meas_MID00234_FID113204_RT_COR_T2_OBL.h5;meas_MID00234_FID115746_AX_T2_P2.h5;meas_MID00234_FID117734_AX_T2_ANGLE_DISC.h5;meas_MID00234_FID124170_AX_T2_P2.h5;meas_MID00234_FID126791_AX_T2.h5;meas_MID00235_FID110668_SAG_STIR.h5;meas_MID00235_FID121517_AX_T2_P2.h5;meas_MID00235_FID132428_RT_COR_T2_OBL.h5;meas_MID00236_FID126793_SAG_STIR.h5;meas_MID00236_FID132429_LT_COR_T2_OBL.h5;meas_MID00237_FID126794_RT_COR_T2_OBL.h5;meas_MID00237_FID135353_AX_T2_P2.h5;meas_MID00238_FID122006_COR_T2.h5;meas_MID00238_FID126795_LT_COR_T2_OBL.h5;meas_MID00238_FID133883_COR_T2.h5;meas_MID00239_FID124175_AX_T2_ANGLE_DISC.h5;meas_MID00239_FID133884_SAG_T2.h5;meas_MID00240_FID122008_SAG_T2.h5;meas_MID00240_FID133885_SAG_T1.h5;meas_MID00241_FID110674_AX_T2_ANGLE_DISC.h5
SPINE,multicoil_test,multicoil_test.tar.part-00005,48,meas_MID00430_FID121712_SAG_T2.h5;meas_MID00052_FID135168_SAG_STIR.h5;meas_MID00265_FID114803_COR_T2.h5;meas_MID00444_FID128952_SAG_STIR.h5;meas_MID00325_FID115837_SAG_T1.h5;meas_MID00157_FID113628_AX_T2.h5;meas_MID00436_FID121718_AX_T2.h5;meas_MID00208_FID125334_SAG_T1.h5;meas_MID00128_FID113599_RT_COR_T2_OBL.h5;meas_MID00254_FID115766_SAG_T1.h5;meas_MID00023_FID125544_SAG_T1.h5;meas_MID00392_FID117892_SAG_T2.h5;meas_MID00274_FID135390_COR_T2.h5;meas_MID00180_FID125701_RT_COR_T2_OBL.h5;meas_MID00138_FID118939_SAG_T2.h5;meas_MID00401_FID111369_SAG_STIR.h5;meas_MID00322_FID115834_COR_T2.h5;meas_MID00050_FID135166_SAG_T2.h5;meas_MID00270_FID114808_SAG_T1.h5;meas_MID00353_FID111321_AX_T2.h5;meas_MID00463_FID110896_AX_T2.h5;meas_MID00174_FID125695_SAG_STIR.h5;meas_MID00062_FID135178_AX_T2_ANGLE_DISC.h5;meas_MID00255_FID115767_SAG_STIR.h5;meas_MID00103_FID130173_SAG_T1.h5;meas_MID00430_FID129390_COR_T2.h5;meas_MID00145_FID118946_SAG_T1.h5;meas_MID00046_FID135162_COR_T2.h5;meas_MID00102_FID130172_SAG_T2.h5;meas_MID00334_FID111302_AX_T2_ANGLE_DISC.h5;meas_MID00016_FID120712_COR_T2.h5;meas_MID00111_FID111079_COR_T2.h5;meas_MID00111_FID130181_AX_T2_P2.h5;meas_MID00151_FID113622_AX_T2_P2.h5;meas_MID00119_FID130189_COR_OBL_T1.h5;meas_MID00048_FID125569_SAG_T1.h5;meas_MID00331_FID111299_SAG_STIR.h5;meas_MID00277_FID135393_SAG_T1.h5;meas_MID00375_FID134020_AX_T2_P2.h5;meas_MID00278_FID135394_SAG_STIR.h5;meas_MID00362_FID116833_LT_COR_T2_OBL.h5;meas_MID00138_FID113609_SAG_T1.h5;meas_MID00456_FID125977_SAG_T1.h5;meas_MID00279_FID135395_AX_T2_ANGLE_DISC.h5;meas_MID00027_FID118828_LT_COR_T2_OBL.h5;meas_MID00211_FID125337_AX_T2_ANGLE_DISC.h5;meas_MID00132_FID121414_SAG_T2.h5;meas_MID00369_FID134014_SAG_T2.h5
SPINE,multicoil_train,multicoil_train.tar.part-00002,43,meas_MID00070_FID111038_SAG_T2.h5;meas_MID00072_FID114610_AX_T2_P2.h5;meas_MID00073_FID117971_COR_T2.h5;meas_MID00074_FID117574_COR_T2.h5;meas_MID00076_FID117576_SAG_T2.h5;meas_MID00077_FID112054_COR_T2.h5;meas_MID00077_FID117577_SAG_T1.h5;meas_MID00077_FID127126_COR_T2.h5;meas_MID00078_FID117578_SAG_STIR.h5;meas_MID00079_FID111047_AX_T2_ANGLE_DISC.h5;meas_MID00079_FID117977_SAG_T2.h5;meas_MID00079_FID127128_SAG_T2.h5;meas_MID00079_FID133724_COR_T2.h5;meas_MID00080_FID111048_AX_T2_P2.h5;meas_MID00080_FID117978_SAG_T1.h5;meas_MID00081_FID117979_AXIAL_T2.h5;meas_MID00081_FID124017_COR_T2.h5;meas_MID00081_FID133726_SAG_T2.h5;meas_MID00082_FID112059_SAG_T2.h5;meas_MID00082_FID127131_SAG_T1.h5;meas_MID00082_FID133727_SAG_T1.h5;meas_MID00083_FID112060_SAG_T1.h5;meas_MID00083_FID117981_SAG_STIR.h5;meas_MID00083_FID120779_COR_T2.h5;meas_MID00083_FID124019_SAG_T2.h5;meas_MID00083_FID127132_SAG_STIR.h5;meas_MID00083_FID133728_SAG_STIR.h5;meas_MID00084_FID112061_SAG_STIR.h5;meas_MID00084_FID117584_AX_T2_ANGLE_DISC.h5;meas_MID00084_FID117982_RT_COR_T2_OBL.h5;meas_MID00084_FID124020_SAG_T1.h5;meas_MID00085_FID117585_AX_T2_P2.h5;meas_MID00085_FID117983_LT_COR_T2_OBL.h5;meas_MID00085_FID124021_SAG_STIR.h5;meas_MID00085_FID134739_RT_COR_T2_OBL.h5;meas_MID00086_FID120782_SAG_T2.h5;meas_MID00086_FID124022_AX_T2_ANGLE_DISC.h5;meas_MID00086_FID127135_AX_T2_ANGLE_DISC.h5;meas_MID00086_FID134740_LT_COR_T2_OBL.h5;meas_MID00087_FID124023_AX_T2_P2.h5;meas_MID00088_FID120784_SAG_T1.h5;meas_MID00089_FID120785_SAG_STIR.h5;meas_MID00089_FID127138_AX_T2_P2.h5
SPINE,multicoil_train,multicoil_train.tar.part-00000,41,meas_MID00017_FID135133_COR_T2.h5;meas_MID00019_FID135135_SAG_T2.h5;meas_MID00020_FID110453_COR_T2.h5;meas_MID00020_FID114558_COR_T2.h5;meas_MID00020_FID115532_COR_T2.h5;meas_MID00021_FID135137_SAG_T1.h5;meas_MID00022_FID114560_SAG_T2.h5;meas_MID00022_FID115534_SAG_T2.h5;meas_MID00024_FID114562_SAG_T1.h5;meas_MID00025_FID114563_SAG_STIR.h5;meas_MID00025_FID115537_SAG_T1.h5;meas_MID00026_FID115538_SAG_STIR.h5;meas_MID00028_FID115540_AX_T2_ANGLE_DISC.h5;meas_MID00029_FID110462_SAG_T1.h5;meas_MID00029_FID114073_COR_T2.h5;meas_MID00030_FID114074_SAG_T2.h5;meas_MID00030_FID134146_COR_T2.h5;meas_MID00031_FID114075_SAG_T1.h5;meas_MID00031_FID114569_AX_T2_ANGLE_DISC.h5;meas_MID00031_FID132224_COR_T2.h5;meas_MID00032_FID114076_SAG_STIR.h5;meas_MID00032_FID135148_AX_T2_ANGLE_DISC.h5;meas_MID00033_FID132226_SAG_T2.h5;meas_MID00033_FID135149_AX_T2_P2.h5;meas_MID00034_FID115546_AX_T2_P2.h5;meas_MID00034_FID132227_SAG_T1.h5;meas_MID00035_FID132228_SAG_STIR.h5;meas_MID00036_FID116507_COR_T2.h5;meas_MID00036_FID132229_AX_T2_ANGLE_DISC.h5;meas_MID00037_FID114575_AX_T2_P2.h5;meas_MID00037_FID134153_SAG_T2.h5;meas_MID00038_FID116509_SAG_T2.h5;meas_MID00039_FID134155_SAG_T1.h5;meas_MID00040_FID110473_AX_T2_P2.h5;meas_MID00040_FID111008_COR_T2.h5;meas_MID00040_FID115552_AX_T2_P2.h5;meas_MID00040_FID116511_SAG_T1.h5;meas_MID00040_FID134156_SAG_STIR.h5;meas_MID00042_FID114086_AX_T2.h5;meas_MID00042_FID116513_SAG_STIR.h5;meas_MID00042_FID132235_AX_T2_P2.h5
SPINE,multicoil_val,multicoil_val.tar.part-00002,41,meas_MID00305_FID115817_AX_T2_P2.h5;meas_MID00403_FID115915_SAG_STIR.h5;meas_MID00367_FID117867_SAG_T2.h5;meas_MID00299_FID115811_SAG_STIR.h5;meas_MID00203_FID113173_SAG_STIR.h5;meas_MID00087_FID130157_AX_T2.h5;meas_MID00380_FID115892_COR_T2.h5;meas_MID00139_FID117639_SAG_STIR.h5;meas_MID00107_FID114151_SAG_STIR.h5;meas_MID00138_FID121906_COR_T2.h5;meas_MID00086_FID135202_AX_T2_ANGLE_DISC.h5;meas_MID00387_FID115899_SAG_T1.h5;meas_MID00405_FID113876_SAG_T1.h5;meas_MID00285_FID125806_SAG_T1.h5;meas_MID00462_FID121744_LT_COR_T2_OBL.h5;meas_MID00343_FID115294_SAG_T2_TGSE.h5;meas_MID00334_FID114872_AX_T2_P2.h5;meas_MID00401_FID113872_SAG_T2.h5;meas_MID00460_FID128509_AX_T2_P2.h5;meas_MID00138_FID117638_SAG_T1.h5;meas_MID00429_FID130499_SAG_T1.h5;meas_MID00402_FID115914_SAG_T1.h5;meas_MID00398_FID134043_AX_T2.h5;meas_MID00206_FID113176_AX_T2_ANGLE_DISC.h5;meas_MID00469_FID134114_SAG_T1.h5;meas_MID00438_FID130508_AX_T2_P2.h5;meas_MID00128_FID125254_AX_T2_ANGLE_DISC.h5;meas_MID00018_FID117916_SAG_T2.h5;meas_MID00121_FID125247_COR_T2.h5;meas_MID00083_FID130153_AX_T2_ANGLE_DISC.h5;meas_MID00124_FID133769_AX_T2_ANGLE_DISC.h5;meas_MID00461_FID121743_RT_COR_T2_OBL.h5;meas_MID00371_FID117871_SAG_T1.h5;meas_MID00390_FID115902_SAG_STIR.h5;meas_MID00143_FID121911_SAG_T1.h5;meas_MID00422_FID130492_COR_T2.h5;meas_MID00208_FID115159_SAG_STIR_TGSE.h5;meas_MID00449_FID121731_COR_T2.h5;meas_MID00117_FID118918_SAG_T2.h5;meas_MID00079_FID135195_SAG_T1.h5;meas_MID00472_FID134117_AX_T2.h5
SPINE,multicoil_train,multicoil_train.tar.part-00017,40,meas_MID00340_FID128848_SAG_T2.h5;meas_MID00340_FID132533_AX_T2_ANGLE_DISC.h5;meas_MID00341_FID113812_SAG_T2.h5;meas_MID00341_FID114385_AX_T2_P2.h5;meas_MID00342_FID113813_SAG_T1.h5;meas_MID00342_FID118673_COR_T2.h5;meas_MID00342_FID128850_SAG_T1.h5;meas_MID00343_FID113814_SAG_STIR.h5;meas_MID00343_FID118674_SAG_T2.h5;meas_MID00343_FID128851_SAG_STIR.h5;meas_MID00343_FID133988_SAG_T1.h5;meas_MID00344_FID132537_AX_T2_P2.h5;meas_MID00344_FID133989_AX_T2.h5;meas_MID00345_FID110778_COR_T2.h5;meas_MID00346_FID121628_SAG_T1_WARP.h5;meas_MID00346_FID133991_SAG_STIR.h5;meas_MID00347_FID133992_RT_COR_T2_OBL.h5;meas_MID00348_FID110781_SAG_STIR.h5;meas_MID00348_FID114886_COR_T2.h5;meas_MID00348_FID118246_COR_T2.h5;meas_MID00348_FID121630_AX_T2.h5;meas_MID00348_FID133993_LT_COR_T2_OBL.h5;meas_MID00349_FID113820_AX_T2_ANGLE_DISC.h5;meas_MID00349_FID118680_SAG_T1.h5;meas_MID00349_FID128857_AX_T2_ANGLE_DISC.h5;meas_MID00349_FID133994_AX_T2.h5;meas_MID00350_FID113821_AX_T2_P2.h5;meas_MID00350_FID118248_SAG_T2.h5;meas_MID00350_FID118681_AXIAL_T2.h5;meas_MID00350_FID128858_AX_T2.h5;meas_MID00351_FID114889_SAG_T2.h5;meas_MID00351_FID118249_SAG_T1.h5;meas_MID00352_FID114890_SAG_T1.h5;meas_MID00352_FID118250_SAG_STIR.h5;meas_MID00352_FID118683_SAG_STIR.h5;meas_MID00352_FID132545_AX_T1_PRE.h5;meas_MID00353_FID114891_SAG_STIR.h5;meas_MID00353_FID118684_RT_COR_T2_OBL.h5;meas_MID00354_FID114892_AX_T2_ANGLE_DISC.h5;meas_MID00354_FID118685_LT_COR_T2_OBL.h5
SPINE,multicoil_train,multicoil_train.tar.part-00005,38,meas_MID00134_FID118032_SAG_T1.h5;meas_MID00135_FID118033_SAG_STIR.h5;meas_MID00136_FID111104_COR_T2.h5;meas_MID00136_FID112113_SAG_T2.h5;meas_MID00136_FID115087_AX_T2_P2.h5;meas_MID00136_FID127185_COR_T2.h5;meas_MID00136_FID132329_SAG_T2.h5;meas_MID00137_FID111105_SAG_T2.h5;meas_MID00137_FID112114_SAG_T1.h5;meas_MID00137_FID132330_SAG_T1.h5;meas_MID00138_FID112115_SAG_STIR.h5;meas_MID00138_FID132331_SAG_STIR.h5;meas_MID00139_FID132332_AX_T2_ANGLE_DISC.h5;meas_MID00142_FID115093_AX_T2_ANGLE_DISC.h5;meas_MID00142_FID127191_SAG_T2.h5;meas_MID00143_FID111111_AXIAL_T2.h5;meas_MID00143_FID127192_SAG_T1.h5;meas_MID00144_FID114682_COR_T2.h5;meas_MID00144_FID118042_AX_T2_P2.h5;meas_MID00144_FID127193_AXIAL_T2.h5;meas_MID00145_FID115657_COR_T2.h5;meas_MID00145_FID118043_AX_T2_ANGLE_DISC.h5;meas_MID00145_FID132338_AX_T2_P2.h5;meas_MID00146_FID115658_SAG_T2.h5;meas_MID00146_FID127195_SAG_STIR.h5;meas_MID00147_FID112124_AX_T2_P2.h5;meas_MID00148_FID111116_SAG_T1.h5;meas_MID00149_FID112126_AX_T2_ANGLE_DISC.h5;meas_MID00150_FID114688_SAG_T2.h5;meas_MID00150_FID115662_SAG_T1.h5;meas_MID00150_FID127199_RT_COR_T2_OBL.h5;meas_MID00151_FID114689_SAG_T1.h5;meas_MID00151_FID127200_LT_COR_T2_OBL.h5;meas_MID00152_FID114690_SAG_STIR.h5;meas_MID00153_FID114691_AX_T2_ANGLE_DISC.h5;meas_MID00153_FID115665_AXIAL_T2.h5;meas_MID00154_FID111122_LT_COR_T2_OBL.h5;meas_MID00155_FID115667_SAG_STIR.h5
