category,split,chunk,wrist_hand_thumb_count,filenames
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00008,7,meas_MID00197_FID134313_COR_T1.h5;meas_MID00199_FID134315_COR_PD_FS_SC.h5;meas_MID00200_FID125721_AX_PD_FS.h5;meas_MID00201_FID125722_COR_T1.h5;meas_MID00202_FID134318_COR_T2_FS.h5;meas_MID00203_FID125724_COR_PD_FS.h5;meas_MID00208_FID125729_SAG_T2_FS.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00001,6,meas_MID00045_FID132184_AX_PD_FS.h5;meas_MID00047_FID132186_COR_T1.h5;meas_MID00049_FID132188_COR_PD_FS_SC.h5;meas_MID00052_FID132191_COR_T2_FS.h5;meas_MID00054_FID132193_SAG_T2_FS.h5;meas_MID00059_FID132198_AX_PD_FS_THINS_SCAPHO_LUNATE.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00002,5,meas_MID00082_FID118883_AX_PD_FS.h5;meas_MID00083_FID115595_AX_PD_FS.h5;meas_MID00084_FID118885_COR_T1.h5;meas_MID00086_FID118887_COR_PD_FS.h5;meas_MID00087_FID115599_COR_PD_FS_SC.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00003,5,meas_MID00090_FID115602_SAG_T2_FS.h5;meas_MID00090_FID118891_COR_T2_FS.h5;meas_MID00092_FID115604_COR_T2_FS.h5;meas_MID00100_FID118901_SAG_T2_FS.h5;meas_MID00102_FID118903_AX_PD_FS_THINS_SCAPHO_LUNATE.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00004,5,meas_MID00115_FID134231_AX_PD_FS.h5;meas_MID00119_FID134235_COR_PD_FS.h5;meas_MID00121_FID134237_COR_T2_FS.h5;meas_MID00124_FID134240_SAG_T2_FS.h5;meas_MID00132_FID134248_AX_PD_FS_THINS_SCAPHO_LUNATE.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00023,5,meas_MID00471_FID130541_SAG_T1.h5;meas_MID00475_FID130545_SAG_T2_FS.h5;meas_MID00477_FID130547_COR_T2_FS.h5;meas_MID00480_FID130550_AX_PD_FS.h5;meas_MID00481_FID130551_COR_T1.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00016,4,meas_MID00328_FID122096_AX_PD_FS.h5;meas_MID00330_FID122098_SAG_T2_FS.h5;meas_MID00334_FID122102_COR_PD_FS.h5;meas_MID00338_FID122106_AX_PD_FS_REPEAT.h5
WRIST_HAND_THUMB,multicoil_test,multicoil_test.tar.part-00003,3,meas_MID00381_FID111349_SAG_T2_FS.h5;meas_MID00319_FID115270_COR_T1.h5;meas_MID00361_FID127410_AX_PD_FS.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00009,3,meas_MID00209_FID134325_SAG_T2_FS.h5;meas_MID00210_FID125731_AX_PD_FS_THINS_SCAPHO_LUNATE.h5;meas_MID00211_FID134327_AX_PD_FS_THINS_SCAPHO_LUNATE.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00018,3,meas_MID00364_FID110410_AX_PD_FS.h5;meas_MID00365_FID110411_COR_T1_2mm384_SC.h5;meas_MID00367_FID110413_SAG_T2_FS.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00025,3,meas_MID00532_FID129492_COR_T1.h5;meas_MID00534_FID129494_COR_T2_FS.h5;meas_MID00536_FID129496_SAG_T2_FS.h5
WRIST_HAND_THUMB,multicoil_val,multicoil_val.tar.part-00001,3,meas_MID00318_FID119119_LT_COR_T1.h5;meas_MID00324_FID118222_AX_PD_FS.h5;meas_MID00326_FID118224_COR_T1.h5
WRIST_HAND_THUMB,multicoil_val,multicoil_val.tar.part-00005,3,meas_MID00335_FID118233_AX_PD_FS_THINS_SCAPHO_LUNATE.h5;meas_MID00320_FID119121_LT_SAG_T2_FS.h5;meas_MID00336_FID118234_AX_T1.h5
WRIST_HAND_THUMB,multicoil_test,multicoil_test.tar.part-00000,2,meas_MID00328_FID115279_SAG_T2_FS.h5;meas_MID00317_FID115268_AX_PD_FS.h5
WRIST_HAND_THUMB,multicoil_test,multicoil_test.tar.part-00002,2,meas_MID00323_FID115274_COR_PD_FS_SC.h5;meas_MID00369_FID127418_AX_T1_PG_FS.h5
WRIST_HAND_THUMB,multicoil_test,multicoil_test.tar.part-00005,2,meas_MID00374_FID127423_COR_T1_PG_FS.h5;meas_MID00379_FID111347_COR_T1.h5
WRIST_HAND_THUMB,multicoil_val,multicoil_val.tar.part-00004,2,meas_MID00333_FID118231_SAG_T2_FS.h5;meas_MID00317_FID119118_LT_COR_T2_FS.h5
WRIST_HAND_THUMB,multicoil_train,multicoil_train.tar.part-00024,1,meas_MID00483_FID130553_SAG_T2_FS.h5
WRIST_HAND_THUMB,multicoil_val,multicoil_val.tar.part-00000,1,meas_MID00330_FID118228_COR_T2_FS.h5
WRIST_HAND_THUMB,multicoil_val,multicoil_val.tar.part-00003,1,meas_MID00328_FID118226_COR_PD_FS.h5
